,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
13808,gas_tax,Campaign '03,,"Journal & Courier; Lafayette, Ind.","Oct 24, 2003","Lafayette, Ind.",,Opinions,https://www.proquest.com/newspapers/campaign-03/docview/383051259/se-2?accountid=13360,IN
14059,net_metering,March 12: Letters to the editor: We should support net metering bill,,"Journal & Courier; Lafayette, Ind.","Mar 12, 2010","Lafayette, Ind.",,OPINION,https://www.proquest.com/newspapers/march-12-letters-editor/docview/383247885/se-2?accountid=13360,IN
14085,net_metering,Solar advocates stress net metering not dead,"Slabaugh, Seth","Star Press; Muncie, Ind.","Nov 23, 2018","Muncie, Ind.",A.6,News,https://www.proquest.com/newspapers/solar-advocates-stress-net-metering-not-dead/docview/2136846998/se-2?accountid=13360,IN
14086,net_metering,Advocates of solar stress net metering isn't dead,"Slabaugh, Seth","Indianapolis Star; Indianapolis, Ind.","Nov 24, 2018","Indianapolis, Ind.",A.9,News,https://www.proquest.com/newspapers/advocates-solar-stress-net-metering-isnt-dead/docview/2137095827/se-2?accountid=13360,IN
14088,net_metering,"How other Midwestern states treat solar energy: Net metering surfaces as big issue elsewhere, too","Hopkins, Emily","Indianapolis Star; Indianapolis, Ind.","Nov 6, 2017","Indianapolis, Ind.",A.3,News,https://www.proquest.com/newspapers/how-other-midwestern-states-treat-solar-energy/docview/1960492291/se-2?accountid=13360,IN
14105,net_metering,These bills could impact Indiana's environment,"Gibson, London; Bowman, Sarah","Palladium - Item; Richmond, Ind.","Feb 1, 2021","Richmond, Ind.",A.4,News,https://www.proquest.com/newspapers/these-bills-could-impact-indianas-environment/docview/2484195764/se-2?accountid=13360,IN
14106,net_metering,These bills could affect Indiana's environment,"Gibson, London; Bowman, Sarah","Indianapolis Star; Indianapolis, Ind.","Feb 1, 2021","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/these-bills-could-affect-indianas-environment/docview/2484176381/se-2?accountid=13360,IN
14108,net_metering,"Holcomb, Myers differ greatly on environment","Gibson, London; Bowman, Sarah","Palladium - Item; Richmond, Ind.","Oct 11, 2020","Richmond, Ind.",A.5,News,https://www.proquest.com/newspapers/holcomb-myers-differ-greatly-on-environment/docview/2449712595/se-2?accountid=13360,IN
14126,net_metering,"The environment's gubernatorial gulf: Holcomb, Myers map out stark paths","Gibson, London; Bowman, Sarah","Indianapolis Star; Indianapolis, Ind.","Oct 10, 2020","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/environments-gubernatorial-gulf/docview/2449626937/se-2?accountid=13360,IN
14139,net_metering,Gifts flow in as solar policy is pushed: Indiana politicians received thousands,"Hopkins, Emily; Bowman, Sarah","Indianapolis Star; Indianapolis, Ind.","Nov 6, 2017","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/gifts-flow-as-solar-policy-is-pushed/docview/1960496327/se-2?accountid=13360,IN
14145,net_metering,What to know if you're voting with the environment in mind,"Gibson, London; Bowman, Sarah","Indianapolis Star; Indianapolis, Ind.","Nov 2, 2020","Indianapolis, Ind.",A.3,News,https://www.proquest.com/newspapers/what-know-if-youre-voting-with-environment-mind/docview/2456337336/se-2?accountid=13360,IN
14147,net_metering,What to know if you're voting with the environment in mind,"London Gibson ,; Bowman, Sarah","Journal & Courier; Lafayette, Ind.","Nov 2, 2020","Lafayette, Ind.",A.2,News,https://www.proquest.com/newspapers/what-know-if-youre-voting-with-environment-mind/docview/2456395926/se-2?accountid=13360,IN
14148,net_metering,"New law could cost jobs, savings: Utilities, solar providers argue over incentive","Bowman, Sarah; Hopkins, Emily","Indianapolis Star; Indianapolis, Ind.","Nov 5, 2017","Indianapolis, Ind.",A.1,News,https://www.proquest.com/newspapers/new-law-could-cost-jobs-savings/docview/1959997687/se-2?accountid=13360,IN
14158,net_metering,Do-it-yourself Power,"Russell, John","Indianapolis Star; Indianapolis, Ind.","Apr 1, 2012","Indianapolis, Ind.",,FEATURES,https://www.proquest.com/newspapers/do-yourself-power/docview/963431000/se-2?accountid=13360,IN
14165,net_metering,"New law could cost jobs, savings: Utilities, solar providers argue over incentive","Bowman, Sarah; Hopkins, Emily","Journal & Courier; Lafayette, Ind.","Nov 5, 2017","Lafayette, Ind.",A.8,News,https://www.proquest.com/newspapers/new-law-could-cost-jobs-savings/docview/1959997467/se-2?accountid=13360,IN
